"metrica","valor"
"n_linhas","96"
"n_colunas_entrada","104"
"n_colunas_validas","32"
"n_degeneradas","72"
"n_somente_na","0"
"n_variancia_zero","72"
"n_near_zero_var","0"
"nzv_aplicado","nao"
